LICL,PES,FR,DIST,NM
0.01082115,29.19113042,0.343324064,26.85485946,324.8465073
0.010830078,29.44110762,0.342101642,26.83148684,324.8465073
0.010838467,29.33786893,0.343767626,26.89164919,324.8465073
0.010843383,29.31145869,0.342532151,26.84144177,324.8465073
0.010846937,29.25803362,0.343677972,26.77466391,324.8465073
0.010847163,29.19542411,0.341926273,26.7539199,324.8465073
0.010849769,29.37482423,0.343341803,26.79901284,324.8465073
0.010854833,31.58367593,0.374633952,24.81891378,380.417086
0.010855479,29.40639657,0.341209258,26.87011603,324.8465073
0.010856744,29.3647454,0.34223923,26.88106681,324.8465073
0.010864371,31.59681944,0.374096707,24.84799557,380.417086
0.010865292,31.60956226,0.374493279,24.81516091,380.417086
0.010867381,31.48978052,0.3729833,24.77840537,380.417086
0.010873496,31.48647361,0.37554757,24.64059148,380.417086
0.010874405,29.26338735,0.341188159,26.75386739,324.8465073
0.010875056,29.30596529,0.342786574,26.78975082,324.8465073
0.01087633,31.65379964,0.37372153,24.64131858,380.417086
0.010878664,31.55625068,0.375366738,24.7371196,380.417086
0.010878727,31.49376617,0.373880077,24.732428,380.417086
0.010882269,31.68498232,0.375184917,24.73689997,380.417086
0.010882643,31.43968677,0.373079763,24.73937225,380.417086
0.010890407,31.45749925,0.372965166,24.78161604,380.417086
0.010893452,29.38487974,0.342465428,26.8080347,324.8465073
0.010898035,29.33581039,0.343763496,26.67379946,324.8465073
0.010898749,31.56205138,0.373869432,24.79491706,380.417086
0.010899734,29.35817377,0.341896199,26.66202185,324.8465073
0.010900648,31.70304615,0.375781345,24.63553665,380.417086
0.010903129,31.52352223,0.373427829,24.79149858,380.417086
0.010904142,31.56111906,0.374214646,24.75167576,380.417086
0.01090513,31.70962662,0.373913259,24.72210168,380.417086
0.010908899,31.65048499,0.373966981,24.7631398,380.417086
0.010910354,31.70190875,0.372890943,24.63088475,380.417086
0.010912548,29.33835738,0.343873811,26.89288503,324.8465073
0.010917139,29.40756132,0.341485723,26.74824716,324.8465073
0.010919259,29.29209538,0.342419113,26.74424128,324.8465073
0.010920593,31.62137703,0.375459709,24.83972684,380.417086
0.010922592,31.69596787,0.375207121,24.84444533,380.417086
0.010922754,29.28525071,0.343075851,26.78592363,324.8465073
0.010924885,29.2406151,0.342928114,26.76831468,324.8465073
0.010925737,29.33874799,0.341622854,26.77777163,324.8465073
0.010925783,29.43270686,0.344429024,26.89819089,324.8465073
0.010928154,31.70490586,0.375213853,24.69276155,380.417086
0.010929311,29.44490384,0.343159949,26.79255794,324.8465073
0.010932491,31.65574195,0.375223384,24.6775678,380.417086
0.010933507,31.46662581,0.374353477,24.66752075,380.417086
0.010937692,31.56407448,0.375914805,24.81395337,380.417086
0.010939558,31.50840913,0.374179892,24.77874379,380.417086
0.01095064,28.91571533,0.422163144,27.37290702,367.2725931
0.010956259,31.68538288,0.373233564,24.80825178,380.417086
0.010982768,28.66414713,0.423240992,27.37559873,367.2725931
0.010983857,28.81649581,0.425612529,27.42397727,367.2725931
0.010985115,28.9122461,0.423989266,27.39162757,367.2725931
0.01099115,28.87299439,0.425275743,27.42329093,367.2725931
0.010993397,28.88284274,0.425696502,27.36300917,367.2725931
0.011004048,28.79284347,0.423941292,27.43910624,367.2725931
0.011004243,28.82650723,0.424158877,27.46164808,367.2725931
0.011014185,28.91311403,0.42461305,27.41630325,367.2725931
0.011019564,28.69977851,0.42531535,27.33368719,367.2725931
0.011029979,28.84496704,0.423191009,27.33464767,367.2725931
0.011038917,28.71744088,0.424483462,27.33848824,367.2725931
0.011039242,28.71561882,0.424997007,27.40835306,367.2725931
0.011043769,28.6744336,0.42503934,27.54984092,367.2725931
0.011048809,28.6998423,0.424373127,27.35230343,367.2725931
0.011052576,28.68026603,0.423610966,27.54537375,367.2725931
0.011058578,28.76713153,0.422193982,27.52083491,367.2725931
0.011141831,29.88689986,0.319017731,26.19497743,326.4112569
0.011154862,29.99858936,0.319876075,26.00682479,326.4112569
0.01115623,30.01242044,0.319345655,26.02287081,326.4112569
0.011163719,29.90956964,0.32167019,26.10943686,326.4112569
0.011180177,29.94228294,0.320825574,26.21466611,326.4112569
0.011189345,29.83548879,0.321352166,26.19509286,326.4112569
0.011189802,30.08730293,0.320353287,26.16467236,326.4112569
0.011191849,30.29619027,0.302110399,26.99437996,324.9321049
0.011193638,30.31729088,0.302583992,26.98616282,324.9321049
0.011194269,29.97013485,0.320055226,26.02140838,326.4112569
0.011194361,30.0311206,0.320705504,26.0957635,326.4112569
0.011197758,29.9702076,0.320171151,26.09243893,326.4112569
0.011200371,30.42785515,0.30364438,27.06186449,324.9321049
0.011203204,30.51747188,0.302783369,26.99834917,324.9321049
0.011210148,30.01293809,0.319196143,26.08550494,326.4112569
0.011210467,30.45168389,0.301284181,27.16637194,324.9321049
0.01121152,30.35341858,0.301660253,27.00969601,324.9321049
0.011212076,30.40167596,0.303601044,27.08638041,324.9321049
0.011213159,30.46820628,0.301979832,27.23111738,324.9321049
0.011214469,30.38506172,0.303149583,26.99876161,324.9321049
0.011215103,30.36294827,0.301800922,27.16985582,324.9321049
0.011230372,30.57967875,0.302381194,27.16973188,324.9321049
0.011231974,30.30138337,0.301990239,27.17491505,324.9321049
0.011233728,30.58343699,0.301183595,27.23042422,324.9321049
0.011235928,30.57771647,0.304048113,27.11621205,324.9321049
0.011238269,30.44227042,0.302612048,27.09855218,324.9321049
0.011239403,30.04001944,0.321260059,26.19423953,326.4112569
0.011239837,29.89439943,0.319645487,26.16762136,326.4112569
0.011240906,30.59413952,0.301651048,27.11790006,324.9321049
0.011241165,29.89383834,0.32050529,26.12981503,326.4112569
0.011260779,30.58032496,0.301682287,26.97305111,324.9321049
0.011272589,30.55797975,0.302939239,27.1383533,324.9321049
0.01154696,31.96945134,0.362308633,27.3304362,384.1540038
0.011554609,31.76697295,0.36175863,27.35621338,384.1540038
0.011557008,32.03314088,0.363602621,27.52620673,384.1540038
0.011558232,31.92894471,0.361924349,27.45541999,384.1540038
0.011568741,31.98190911,0.361091617,27.55935634,384.1540038
0.011569568,32.00241457,0.361329803,27.37259497,384.1540038
0.011572587,31.88355083,0.361433581,27.31485383,384.1540038
0.011594447,32.07446205,0.364115737,27.38057412,384.1540038
0.01159525,32.06395435,0.361229445,27.37693731,384.1540038
0.011600947,31.92332399,0.362420296,27.43620966,384.1540038
0.01161701,32.01102911,0.362432093,27.55762478,384.1540038
0.011631939,31.83833283,0.362200976,27.35565601,384.1540038
0.011635527,31.86850748,0.360825483,27.36471516,384.1540038
0.011650143,32.02579503,0.3619076,27.41443604,384.1540038
0.011652069,32.0675941,0.364051348,27.33281478,384.1540038
0.011656171,31.99059663,0.361480432,27.49406387,384.1540038
0.011657161,31.96982663,0.361642315,27.31075601,384.1540038
0.011658725,32.02701354,0.364083868,27.54009982,384.1540038
0.011872581,30.68536096,0.448197653,20.65299311,382.6657711
0.01187522,30.46606121,0.450066193,20.72838466,382.6657711
0.011883772,30.63601131,0.449148037,20.59636175,382.6657711
0.011886003,30.49662349,0.446083123,20.67352315,382.6657711
0.011891389,30.39941534,0.450074095,20.74578188,382.6657711
0.011896482,30.61418395,0.447424384,20.571774,382.6657711
0.011910204,30.6002368,0.448078169,20.7118377,382.6657711
0.011911065,30.470727,0.448310155,20.67772488,382.6657711
0.011916223,30.5554213,0.44642031,20.7071901,382.6657711
0.0119207,30.52391918,0.446643817,20.70959814,382.6657711
0.011926812,30.43679947,0.447265418,20.55857107,382.6657711
0.011926987,30.51632531,0.447689477,20.60388403,382.6657711
0.011928931,30.53531083,0.448084423,20.65507475,382.6657711
0.011943457,30.53902248,0.447568228,20.69193714,382.6657711
0.011949235,30.5731295,0.449498548,20.64159141,382.6657711
0.011954304,30.60747886,0.447659315,20.61174073,382.6657711
0.011961187,30.55489057,0.447153663,20.57285863,382.6657711
0.011981017,30.43370011,0.447855978,20.71479659,382.6657711
0.011983376,30.57078987,0.449934099,20.65913095,382.6657711
0.012033772,31.49182676,0.393726047,25.91875035,382.2354238
0.012034191,31.62909687,0.39357284,25.9884609,382.2354238
0.012043948,31.43448336,0.394141292,26.15970023,382.2354238
0.012046512,31.41413908,0.391429387,26.02240965,382.2354238
0.012047165,31.43441517,0.393483581,25.93508023,382.2354238
0.012047178,31.52183578,0.391265961,26.06467791,382.2354238
0.012048781,31.65182368,0.393339915,26.02918287,382.2354238
0.012052445,31.54290427,0.393430788,26.11520729,382.2354238
0.012068228,31.61483741,0.392796942,26.0790639,382.2354238
0.012081815,31.65016752,0.390881202,25.98985546,382.2354238
0.012082456,31.58289495,0.391339881,25.93921471,382.2354238
0.012082867,31.56142011,0.392541296,26.03515735,382.2354238
0.012089758,31.64842947,0.391462879,25.96434447,382.2354238
0.012095974,31.57893521,0.393593077,26.02073744,382.2354238
0.012100979,31.69165723,0.390609042,25.95197638,382.2354238
0.012108002,31.53480725,0.393101481,25.98121237,382.2354238
0.012108285,31.40981603,0.394346374,26.10332548,382.2354238
0.012109409,31.56199952,0.392083808,25.94570138,382.2354238
0.012113167,31.48141045,0.391020371,26.01740912,382.2354238
0.012126398,31.45024007,0.391617113,26.0802139,382.2354238
0.012136756,31.66920263,0.391475113,26.07528399,382.2354238
0.012139762,31.551826,0.391506986,26.06691143,382.2354238
0.012142116,31.4187697,0.393327449,27.14443136,381.6211014
0.012143052,31.5353576,0.393910617,27.21140915,381.6211014
0.012145847,31.56051579,0.393727782,27.05662841,381.6211014
0.012156124,31.5108764,0.394706976,27.04522019,381.6211014
0.012158794,31.37036318,0.394149024,27.05534444,381.6211014
0.01216684,31.39489633,0.394218966,27.12463848,381.6211014
0.012176905,31.31461928,0.393439689,27.11587842,381.6211014
0.012184105,31.53146722,0.39287348,26.98999749,381.6211014
0.012185599,31.48070644,0.395078031,26.98698063,381.6211014
0.012188196,31.35475993,0.394082177,26.97178758,381.6211014
0.012192998,31.4850615,0.412635883,24.69924489,383.5642323
0.012199789,31.34289336,0.393726143,27.1886068,381.6211014
0.012200237,31.38651405,0.39392633,27.1262759,381.6211014
0.012200795,31.33768045,0.393190915,27.04449543,381.6211014
0.012202874,31.46229883,0.39401991,27.0819028,381.6211014
0.012206513,31.38319203,0.411511412,24.8674842,383.5642323
0.012207137,31.59587624,0.392063966,27.15696119,381.6211014
0.012208987,31.36504351,0.395765835,27.04281453,381.6211014
0.012213847,31.54376593,0.394079275,27.18113701,381.6211014
0.012217953,31.56103077,0.41034572,24.83763756,383.5642323
0.012220811,31.54958263,0.409788947,24.81683826,383.5642323
0.012221356,31.37857754,0.393805372,27.15909403,381.6211014
0.012224137,31.35048146,0.394289001,27.20476262,381.6211014
0.01222512,31.39981057,0.392648052,27.10163013,381.6211014
